id,property_id,buyer_contact_id,seller_contact_id,deal_type,stage,token_amount,token_date,commission_percentage,commission_amount,expected_close_date,actual_close_date,notes,created_at
71c42da7-c006-4f59-a48e-f4544405ed96,66f730b4-a247-4464-af19-ba120f55c3fb,1049d32f-1e35-4a4a-adad-510f789cad9e,6d42ec1c-3c97-4aa4-af73-e035b02d71f7,sale,due_diligence,3220000,2026-07-14,2,955000,2026-09-10,,,2026-06-06 17:30:59
c3e82b11-8d9e-4fa7-9cee-f6e588936a7c,952c4656-2014-4434-a7d6-a6f2f38239ba,d9a1e3a7-0f75-4f15-8275-4a17b304822b,318a6cba-59ab-401f-9634-aecd6d2759bc,sale,offer_made,,,2,,2026-08-30,,,2026-06-22 20:56:27
46a099e7-6834-4aa0-864f-4237b03aae82,bd58db9f-9b40-4bea-80af-38ede35e3d84,9c54d181-8d47-40bb-96cd-680d0318ee4b,f85c3e37-f2ba-450f-a3f5-bbffb75fc6dd,sale,offer_made,,,2,,2026-09-08,,,2026-08-05 20:06:33
41116742-ec7c-4e90-8268-d1f746e0007f,1818f88d-ecdf-4c88-9ba0-b9603a88edaa,7f0903e3-8a57-462e-b106-ef843899406d,,sale,qualified,,,2,,2026-08-23,,,2026-08-14 08:36:03
77a8d44e-00c8-460d-b529-33be97255cd4,235bec7f-2a01-4578-914c-cd4e8db21f7f,c5f5bf34-3e74-4fe9-8273-a7dba629aa5c,470e4ca8-02fb-4192-b12b-098fda8b652d,sale,closed_won,4690000,2025-12-15,2,961000,2026-07-31,2026-06-21,,2026-06-21 15:46:50
a6ed8a28-740a-4946-b0fc-13395702d476,7683aeed-b572-49e5-83cd-28055d9b5169,f1a02003-1541-4fb4-a14a-e581c2d91726,05f05440-79a2-4d88-bc14-0af3f8f74ff9,sale,new_inquiry,,,2,,2026-09-15,,,2026-08-12 21:19:56
fc8c4896-956f-4931-b665-676e5856efad,e7b0c10a-2e15-473e-b094-bb865cc7622f,04ad64b0-06c0-4c63-9e57-72bc03ca7809,812c9b7a-64e9-47dc-b6d4-4a71dd2f3afd,sale,new_inquiry,,,2,,2026-08-05,,,2026-08-20 18:49:13
0e7ce016-8512-4b07-9bf3-82b1ab4109d9,daf5b7a7-2869-4695-a714-9ee7dade10ca,003712dc-82f7-47ff-9400-36a7c7b8e62d,235ec73d-af34-42ee-b835-6b12c7dbec8f,sale,new_inquiry,,,2,,2026-08-01,,,2026-08-18 20:31:42
819fc767-ed17-412a-a471-03bc835d1a72,36083715-b567-4b2c-8653-d32f42914d08,62d1ff54-c435-4073-9957-4e40a6d60606,dcfc8c19-72fc-49ec-a34e-03463526a96f,rent,token_bayana_received,150000,2026-07-18,2,28000,2026-09-07,,,2026-07-21 12:08:32
a49804fa-98d4-4d1d-b8cf-dc223e4f7ce3,942b41d3-651d-4d03-9df4-d8f265d203bc,0ea249c9-afc7-4568-b784-6b1b001976ef,,rent,site_visit_scheduled,,,2,,2026-09-05,,,2026-08-11 11:18:17
