id,property_type,purpose,size_unit,size_value,city,area,society,phase,block,plot_number,file_number,file_type,payment_plan_status,transfer_fee_status,asking_price,rent_price,dc_rate,market_rate,development_charges_status,possession_status,verification_status,status,owner_contact_id,created_at
81a7aa2d-97e4-4e62-8e8a-8e83f8b90254,apartment,sale,Sq Yd,3546,Islamabad,G-11,G-11,Phase 9,A,,,,,pending,57250000,,42550000,57790000,,possession_ready,fard_checked,available,b847b3b7-d6ad-4941-9f75-1c1357d5c196,2026-08-20 13:04:18
26697475-fe65-43d1-a39a-cbadc81b59de,house,sale,Sq Yd,2086,Lahore,Johar Town,Johar Town,,,,,,,,24350000,,18070000,27150000,,possession_ready,fard_checked,available,4608c0b7-052a-4f1d-bc5f-a9bab314a70f,2025-07-21 14:27:33
3b8c3609-3618-4dfd-9678-578d53280cd5,house,sale,Sq Ft,3222,Rawalpindi,Bahria Town Rawalpindi,Bahria Town Rawalpindi,Phase 8,,,,,,,21900000,,12700000,21360000,,possession_ready,noc_verified,suspended,9a0093d3-d4bc-4a58-a594-6e7dad79b90f,2026-08-01 17:40:11
c5abe73f-c83b-4d8c-8324-a47a1d7e3f69,file,sale,Sq Ft,2234,Faisalabad,Wapda City,Wapda City,Phase 1,,942,F-11321,closed,completed,paid,22750000,,13970000,23890000,,file_only,registry_pending,available,56e31adb-5457-466a-8a12-40ef39695a0d,2026-06-20 13:58:53
273a2d79-d91e-4ed0-b711-f41c16d6dc25,apartment,sale,Kanal,3,Lahore,Valencia Town,Valencia Town,,,,,,,paid,7200000,,4320000,7420000,,constructed,noc_verified,available,a0354790-95c0-46d5-bb5e-3098fed43942,2025-09-24 10:11:53
bdfc2907-e395-47b6-842f-0f7992ea3c59,house,sale,Marla,12,Lahore,Valencia Town,Valencia Town,,C,,,,,,3200000,,2080000,3140000,,possession_ready,fard_checked,sold,,2026-07-19 08:46:35
c5112f49-f586-41a0-b42b-07ff59180799,house,sale,Sq Ft,680,Rawalpindi,Askari 14,Askari 14,Phase 4,C,,,,,,5400000,,3560000,5460000,,possession_ready,noc_verified,available,8beb2273-ff56-48f5-a576-77e47845ce81,2025-12-02 19:02:22
affc966c-f2c4-4a10-9ace-beb3f166de26,house,sale,Marla,15,Karachi,Askari 5,Askari 5,Phase 2,E,,,,,,5850000,,4070000,6270000,,possession_ready,not_verified,rented,f6de2625-bb1c-46bb-bffa-35fac519ca3a,2026-08-13 21:03:23
4d3ecc60-62b1-4094-a08e-492b6ddbed29,residential_plot,sale,Sq Yd,2599,Rawalpindi,DHA Rawalpindi,DHA Rawalpindi,Phase 1,G,872,,,,,26850000,,13770000,30400000,paid,possession_ready,registry_pending,available,fabbb31b-5ed8-4e29-be5f-094c6431b1b9,2026-01-14 19:14:38
38234119-6269-4ca2-b854-4395c49684df,house,sale,Marla,14,Karachi,North Nazimabad,North Nazimabad,,H,,,,,paid,4700000,,3350000,4630000,paid,possession_ready,not_verified,available,,2025-12-24 13:01:06
aa2b2597-f08b-4dbd-bfed-532100ab633e,residential_plot,rent,Marla,5,Faisalabad,Madina Town,Madina Town,Phase 2,C,589,,,,paid,,30000,,,paid,file_only,noc_verified,rented,1c4ad09c-c630-4e0d-a728-ec9295f1e320,2026-07-24 14:25:18
96fc52ec-52d4-4304-bc15-b03312969563,apartment,sale,Sq Yd,3070,Multan,Model Town Multan,Model Town Multan,,F,,,,,,41450000,,26990000,40360000,paid,file_only,fard_checked,token_taken,,2026-04-02 14:41:20
85fbb273-1feb-4207-bfef-61baee9128b0,house,rent,Marla,11,Karachi,Clifton,Clifton,,,,,,,,,230000,,,,under_development,fard_checked,available,2d9322e4-0012-4f38-aebd-02a094daf85f,2026-08-13 16:39:58
38c5f065-c827-4cfa-bf6d-3e417e7538eb,house,sale,Kanal,3,Karachi,DHA Karachi,DHA Karachi,,,,,,,,41100000,,22930000,41230000,paid,possession_ready,transfer_complete,sold,,2025-08-23 08:49:21
caa66195-b804-46d7-97ae-f5d803ebc448,apartment,rent,Sq Ft,733,Faisalabad,Jinnah Colony,Jinnah Colony,Phase 9,F,,,,,paid,,240000,,,,possession_ready,transfer_complete,available,,2025-12-13 21:48:24
52fd3f80-4dc5-44f2-bdee-fcc5af2b8e35,residential_plot,sale,Kanal,3,Islamabad,G-11,G-11,,,505,,,,,50150000,,31810000,56500000,paid,constructed,registry_pending,sold,,2026-03-25 12:31:59
137a2799-ae80-409c-ab32-506e52279567,apartment,sale,Kanal,2,Karachi,DHA Karachi,DHA Karachi,Phase 4,F,,,,,pending,3000000,,2350000,3380000,pending,possession_ready,fard_checked,available,cfca5bbc-d0f1-4f5a-b8cc-7442511c8684,2025-11-07 19:46:44
e8c6baa0-e701-43b8-9b5a-51e9ebb912ea,residential_plot,sale,Kanal,2,Karachi,PECHS,PECHS,Phase 7,,43,,,,pending,19650000,,12820000,21560000,pending,under_development,fard_checked,rented,,2026-02-05 09:55:06
1ab9cdf0-aaae-4a11-b323-9ebea2fe4ae4,file,sale,Sq Ft,3861,Islamabad,DHA Islamabad,DHA Islamabad,Phase 8,F,580,F-86530,ballot,completed,,3000000,,2100000,2860000,paid,constructed,not_verified,token_taken,,2025-12-19 19:31:53
8a5212d8-e72f-449d-9448-4b7c3925475b,house,sale,Sq Ft,2296,Karachi,North Nazimabad,North Nazimabad,,,,,,,,40550000,,25680000,41100000,pending,under_development,noc_verified,available,,2026-07-25 19:59:46
c0dcdd40-5013-4f2d-b491-a305d265f332,house,sale,Kanal,2,Lahore,DHA Lahore,DHA Lahore,Phase 5,,,,,,paid,21050000,,12870000,23000000,paid,file_only,noc_verified,available,f01b2504-ceae-4568-8929-68ac5df94ffb,2026-03-08 11:34:11
5f0d47ad-c64c-4799-a111-57b40c322735,residential_plot,sale,Sq Ft,2665,Peshawar,Hayatabad,Hayatabad,,,494,,,,,3650000,,2060000,4120000,,constructed,fard_checked,available,1354ce8e-8311-4925-9a0b-f62f248ae1b8,2025-11-10 13:45:28
96ab194a-1ed4-44e0-87b6-3b56d67dbb6b,residential_plot,rent,Sq Yd,1380,Faisalabad,Madina Town,Madina Town,Phase 8,F,401,,,,,,180000,,,,constructed,not_verified,sold,,2025-10-06 17:50:07
314a379a-eae2-4487-a4ad-9b1074c5a2c5,residential_plot,sale,Sq Ft,1244,Lahore,Askari 10,Askari 10,,,555,,,,pending,38300000,,20000000,37580000,,constructed,fard_checked,available,ea651a4a-d77a-46f9-898f-5c8d6207baeb,2026-04-22 16:10:46
b3f05848-f761-467a-a3ba-20474de35a9f,residential_plot,rent,Sq Ft,1783,Peshawar,DHA Peshawar,DHA Peshawar,Phase 7,D,1,,,,,,255000,,,,under_development,registry_pending,available,41336307-6123-4e5e-a27c-4e040f425040,2026-08-07 08:26:25
39cc1a8a-9f1c-49b9-b2ba-f47712d455c1,agricultural,sale,Kanal,2,Karachi,Gulshan-e-Iqbal,Gulshan-e-Iqbal,,,420,,,,,12600000,,8470000,13960000,,under_development,not_verified,available,,2026-06-05 17:10:45
294dab75-dba6-4e40-9d5c-53a443cd3559,house,sale,Sq Ft,1028,Karachi,Gulshan-e-Iqbal,Gulshan-e-Iqbal,,D,,,,,paid,16200000,,12190000,16150000,,under_development,registry_pending,available,0c70170f-5f13-48df-9f3e-94617ae4cf9d,2026-03-02 15:52:20
5a6ba27b-394d-4cdc-a613-aa6ac3b6c312,apartment,sale,Sq Ft,1924,Faisalabad,Jinnah Colony,Jinnah Colony,Phase 4,,,,,,pending,18050000,,14370000,19500000,,under_development,noc_verified,available,fceb9bed-8f22-4b08-9df1-b82c73c40732,2026-04-27 19:44:28
36b9d5eb-297a-465a-93ed-45f96830a7a0,commercial,sale,Sq Ft,2663,Lahore,Gulberg,Gulberg,Phase 9,E,81,,,,,14600000,,10570000,14020000,pending,constructed,not_verified,available,340ba938-c318-4eb6-9071-7a799cc96f09,2026-08-18 08:50:07
