id,title,description,due_date,status,priority,related_type,related_id,created_at
331754e3-65ae-4b69-917c-692b611f33aa,Verify Fard / NOC with society office,,2026-08-28 07:58:42,pending,urgent,deal,71c42da7-c006-4f59-a48e-f4544405ed96,2026-06-06 17:30:59
a89d0b99-ce87-4573-a0db-fbee987bb4c9,Follow up on offer,,2026-08-26 07:58:42,pending,medium,deal,c3e82b11-8d9e-4fa7-9cee-f6e588936a7c,2026-06-22 20:56:27
e534220c-8f01-4f6d-8869-ee907404b4c8,Call back to qualify inquiry,,2026-08-30 07:58:42,pending,high,deal,fc8c4896-956f-4931-b665-676e5856efad,2026-08-20 18:49:13
8d563a79-5fd9-4e56-a659-f5fc12c46bae,Call back to qualify inquiry,,2026-08-16 07:58:42,pending,urgent,deal,0e7ce016-8512-4b07-9bf3-82b1ab4109d9,2026-08-18 20:31:42
5bb490eb-c6ad-4db5-8045-6a191b86d03b,Prepare token receipt & witness docs,,2026-08-17 07:58:42,pending,high,deal,819fc767-ed17-412a-a471-03bc835d1a72,2026-07-21 12:08:32
db5dea23-b0fc-4673-aecf-33437563cb26,Site visit,,2026-08-24 07:58:42,pending,medium,deal,a49804fa-98d4-4d1d-b8cf-dc223e4f7ce3,2026-08-11 11:18:17
2708604f-32d6-4e9c-9cc0-a5c4b7154d33,Site visit,,2026-08-17 07:58:42,pending,high,deal,bf7453ef-3b71-4f30-84a5-d166dbf091ff,2026-07-29 16:33:20
bbe1f7d6-2a03-41e7-b0fe-aa190f463a61,Call back to qualify inquiry,,2026-08-23 07:58:42,pending,medium,deal,ce03b856-1a54-4d69-bba0-7381b3afadbf,2026-08-20 20:49:38
879b6ae2-056a-45f0-9954-d4faa380174c,Call back to qualify inquiry,,2026-08-30 07:58:42,pending,high,deal,ef154e13-0855-4d50-ad8b-fb907cf3d0b6,2026-08-08 20:36:15
4f05ddc4-d843-40b8-a571-bafc70b5863a,Call back to qualify inquiry,,2026-08-22 07:58:42,pending,low,deal,9df39918-de10-4e25-ba74-ff518d0480b0,2026-08-08 09:52:19
cb2b4a16-6e92-4f32-a046-e4e5daa4a6ee,Send shortlisted property options,,2026-09-01 07:58:42,pending,medium,deal,5a003d66-6e79-4a24-b9c1-1c5bd965af6e,2026-07-31 13:03:20
e1c4628d-b473-441c-a4ae-63e5671d6cd9,Call back to qualify inquiry,,2026-08-19 07:58:42,in_progress,urgent,deal,ed83fc4f-9698-4c1c-b640-c4dbb1697b86,2026-08-03 10:38:41
cfbfb205-1e80-4fbe-9f5e-def4690abe6b,Site visit,,2026-09-01 07:58:42,pending,medium,deal,abcb7276-676b-4574-a1f9-d9d8f180dce7,2026-08-12 16:31:44
38fc3445-1f4d-4b05-a9ed-05471270cc33,Call back to qualify inquiry,,2026-08-28 07:58:42,pending,low,deal,828219c8-397d-4401-89d9-c5780e6da120,2026-08-14 13:20:56
39b583c4-d2ff-4090-bc07-bda19e99254e,Call back to qualify inquiry,,2026-08-16 07:58:42,pending,high,deal,cc7e4ad1-a717-446e-a44d-6304ce24b4be,2026-08-18 09:38:03
9f3fbb6a-7340-4f1b-bfbe-5c8b0a26a880,Follow up on offer,,2026-09-01 07:58:42,pending,medium,deal,622b71c7-5c4f-4fa2-b892-9b0ddd5853e3,2026-06-29 17:55:52
8b4aac7d-4b17-45ed-9a54-f37f4b218cfb,Site visit,,2026-08-16 07:58:42,pending,high,deal,09e0cd5f-0df5-44dc-b716-a56b3ced0258,2026-08-07 21:53:41
192d4b73-f442-4a5c-9625-8d18b1fa3e5f,Follow up after site visit,,2026-08-16 07:58:42,pending,high,deal,6f5b16b2-29d4-4c21-89d2-af7286518454,2026-07-21 12:31:13
ef256b1a-83c9-4263-8bd4-21acd9fec9d4,Follow up after site visit,,2026-08-21 07:58:42,in_progress,medium,deal,dd364879-9ee3-4b51-9daa-4fdfc788081d,2026-08-15 16:02:20
49c93ece-2b24-46f0-83c1-5a64c770a8d4,Follow up after site visit,,2026-08-24 07:58:42,pending,medium,deal,7b6ea52e-e0f9-4ec6-939d-179f74494c07,2026-07-10 13:45:14
c74cce76-91d7-49fc-a049-ca58e972b2fe,Follow up after site visit,,2026-08-19 07:58:42,pending,medium,deal,66e6795a-e5de-4039-be2c-892e3b05e014,2026-08-04 16:27:09
49e0cf9a-ef63-467e-a5c1-4677aa1c9c46,Send shortlisted property options,,2026-08-25 07:58:42,pending,medium,deal,d045e806-60ac-4e2a-b4b1-924217f4d351,2026-08-20 18:21:51
b18cc5fd-6c52-4baf-9e49-844c66f8f96e,Site visit,,2026-08-18 07:58:42,pending,medium,deal,8ea01f27-e94c-447e-805a-42ad6244e45c,2026-07-12 08:20:04
f6013970-48e5-4828-9d09-4baf16787d9f,Follow up after site visit,,2026-08-25 07:58:42,pending,high,deal,c4bdf152-7ec3-42d6-940d-6e69e07e4b35,2026-08-01 14:56:16
231b97db-9ba2-47ad-9796-68c4fc461ad2,Send shortlisted property options,,2026-08-21 07:58:42,pending,medium,deal,01767c89-fc44-4561-82fc-5d35f68346ff,2026-08-07 11:04:22
d4e5524f-9f45-424a-9ada-86b428b1925f,Send shortlisted property options,,2026-08-18 07:58:42,pending,medium,deal,e98e1e71-6f8d-4c31-bb1b-5dee42372462,2026-07-30 18:42:02
71a40c19-4550-42c2-b9c5-5bc89d7256c0,Follow up after site visit,,2026-08-23 07:58:42,in_progress,high,deal,9a4218d1-0b05-41e8-99fc-2789427064a8,2026-08-05 20:58:52
d3f027a4-ae8f-4ea5-8e6b-7db8f4636133,Call back to qualify inquiry,,2026-08-25 07:58:42,pending,high,deal,06db8853-5b27-4acb-83f9-4dd941f52a49,2026-08-20 09:02:06
06c005bd-055a-4257-857a-8fd168201aa5,Verify Fard / NOC with society office,,2026-08-28 07:58:42,pending,high,deal,3400ce71-38fe-4b69-8339-024ddfff552f,2026-07-31 20:01:34
4b4ecc25-c6a4-4a4e-a7fc-af1af6cbd9d8,Send shortlisted property options,,2026-08-27 07:58:42,pending,high,deal,8b936588-72a1-4037-af59-0d7762fceb77,2026-08-13 10:27:43
9d0fd399-0604-4ea8-8981-3696fb82acbb,Call back to qualify inquiry,,2026-08-24 07:58:42,pending,medium,deal,0d5ee384-19b1-4208-912b-2db0e08f51a6,2026-08-10 20:16:30
dd88d629-b786-447a-af66-334bc5d54d6d,Follow up on offer,,2026-09-01 07:58:42,in_progress,low,deal,8e4811a3-0511-4929-a9eb-bf40f63b04bf,2026-07-02 18:53:18
556e292f-e883-4df0-b176-5d6d2b2ac3ec,Verify Fard / NOC with society office,,2026-08-27 07:58:42,pending,low,deal,896d030e-e814-4c00-8a13-debf45ee7b47,2026-07-02 18:26:06
2ff46493-bf7d-451b-b464-8c57b4603f54,Send shortlisted property options,,2026-08-18 07:58:42,pending,high,deal,9a6a4073-79fc-427e-97b9-6706f957ce3e,2026-08-20 11:18:34
902a75f4-bc9c-495e-9e58-57cee5c974e8,Site visit,,2026-08-28 07:58:42,pending,high,deal,94c6d8ac-8f7c-4040-9925-a430559342e6,2026-07-17 08:39:29
99f54ef7-1109-462b-9a9a-0b1fbb13484a,Send shortlisted property options,,2026-09-01 07:58:42,in_progress,high,deal,e4afe23d-7708-4593-bf51-00fb27f91b0c,2026-07-28 12:07:21
4cfcc28d-5dfb-4563-bea3-9f6b5e813c05,Call back to qualify inquiry,,2026-08-24 07:58:42,pending,low,deal,c05457a5-84f0-4a8b-8895-4e88226d09c1,2026-08-16 18:05:39
65da752f-8c66-4737-b222-144d50d06ce4,Prepare token receipt & witness docs,,2026-08-16 07:58:42,pending,medium,deal,cb232aa9-eecf-4783-9c3b-e9d817699e13,2026-07-17 14:09:03
6148eabd-125a-4ac5-967f-04a977cd86ab,Accompany client to transfer office,,2026-08-20 07:58:42,pending,medium,deal,98ce448f-d2b9-40be-905c-54ad1f13fc5e,2026-07-11 12:18:06
c49db2c9-9d8e-4838-a6f8-4ebbb202fdfb,Send shortlisted property options,,2026-08-31 07:58:42,in_progress,high,deal,9ddb3fc7-d28b-4919-b34e-a19155d6d04d,2026-08-19 10:07:25
1de569ab-1702-4362-bf13-b4439df44c55,Site visit,,2026-08-19 07:58:42,in_progress,high,deal,ce4f21c0-d097-4cc3-baaa-9ee0477f9d3a,2026-08-17 19:09:36
aec72607-3238-4b5e-a6bb-aa2bb4f124f5,Call back to qualify inquiry,,2026-09-01 07:58:42,pending,high,deal,ea1d4338-e56c-40e1-b09a-acf915cce3b7,2026-08-17 12:55:36
48fbaef2-96e4-43a7-8332-e8717d35c706,Send shortlisted property options,,2026-08-23 07:58:42,pending,high,deal,7c9e3f3d-7ab7-44a0-a5c3-8fd73afcea62,2026-08-19 16:30:13
7e7452cf-8027-45c0-b7a8-0e7fad9b2b68,Send shortlisted property options,,2026-08-19 07:58:42,pending,high,deal,b42919c4-a9cd-4ba2-a616-2f929804701e,2026-08-08 11:07:20
8dcdcbed-11d9-4e88-a9ea-22ed9f439959,Call back to qualify inquiry,,2026-08-18 07:58:42,pending,medium,deal,4011f326-ac98-4a2a-8854-4ea2360d6eed,2026-08-13 12:55:42
2e154314-11b4-4b15-9a57-3c7ed2119f2e,Call back to qualify inquiry,,2026-08-15 07:58:42,pending,high,deal,b0249332-f647-47ae-9ae4-d2d6dbf88b57,2026-08-07 17:51:35
f8fcccfa-59db-4155-afcb-68f34c7d4d52,Send shortlisted property options,,2026-08-17 07:58:42,pending,low,deal,52ab02c7-aa67-4852-9cd9-263e70f883e1,2026-07-28 09:19:40
ffc8f705-1a88-4d6e-9d2f-4bec99dbe3cc,Send shortlisted property options,,2026-08-21 07:58:42,pending,medium,deal,677e7b6d-80b7-439a-aa95-f4e89702ebd5,2026-08-20 18:24:41
bd309d5a-fc29-493e-98f6-259f10ebcad7,Prepare token receipt & witness docs,,2026-08-20 07:58:42,pending,medium,deal,d4c0cba3-59d7-4577-8d65-6cd2b7dfba28,2026-08-05 08:20:28
